ID|Name|Species|Sex|Date of birth|Disabilities|House without kids|Experienced owners|Preferred place to live|Date of admission|Death
59|Luigi|CAT|MALE|2010-04-06|[cancer, cystitis]|1|0|INDOOR|2022-03-20|
67|Arano|CAT|MALE|2018-03-17|[]|0|1|ANY|2022-03-25|
68|Ally|CAT|FEMALE|2012-05-04|[]|0|1|ANY|2022-03-25|
69|Alano|CAT|MALE|2017-02-25|[amputated limb]|1|0|ANY|2022-03-25|
41|Jay|CAT|MALE|2010-01-28|[FeLV, cancer]|1|0|OUTDOOR|2022-03-11|2022-03-26
48|Summer|DOG|FEMALE|2008-10-02|[arthritis, cancer, deafness, diabetes]|0|1|INDOOR|2022-03-17|
65|Isabella|DOG|FEMALE|2020-10-31|[amputated limb, cancer, deafness]|0|0|INDOOR|2022-03-23|2022-03-28
70|Roy|DOG|MALE|2008-08-03|[blindness, deafness, obesity]|1|0|ANY|2022-03-29|
71|Steffi|DOG|FEMALE|2012-03-21|[deafness, dog heartworm]|0|1|INDOOR|2022-03-29|
72|Neva|DOG|FEMALE|2021-11-14|[deafness]|0|0|INDOOR|2022-03-29|
4|Gorki|CAT|MALE|2015-11-03|[cystitis, obesity, tooth pathology]|1|0|ANY|2022-03-08|2022-03-29
73|Mon Ami|CAT|FEMALE|2008-10-27|[]|1|1|OUTDOOR|2022-03-30|
74|Dicky|CAT|MALE|2014-03-05|[obesity, tooth pathology]|1|0|OUTDOOR|2022-03-30|
75|Amir|CAT|MALE|2021-03-05|[blindness, cancer]|1|1|OUTDOOR|2022-03-30|
76|Nik|CAT|MALE|2016-08-05|[cystitis]|1|1|INDOOR|2022-03-31|
77|Emipot|DOG|MALE|2013-10-01|[]|0|0|INDOOR|2022-03-31|
78|Girlie|CAT|FEMALE|2008-08-03|[cancer]|0|0|OUTDOOR|2022-03-31|
79|Dorro|DOG|FEMALE|2021-10-13|[]|1|1|OUTDOOR|2022-04-01|
23|Lalos|CAT|MALE|2007-10-23|[feline heartworm, hyperthyroidism]|0|1|OUTDOOR|2022-04-01|
80|Mole|DOG|MALE|2015-04-30|[diabetes, obesity]|0|0|ANY|2022-04-02|
81|Garell|CAT|MALE|2008-12-06|[]|1|1|INDOOR|2022-04-02|
82|Count|DOG|MALE|2013-02-14|[dog heartworm]|1|1|INDOOR|2022-04-02|
44|Nick|CAT|MALE|2010-11-19|[FIV, kidney disease, cystitis]|0|0|ANY|2022-03-13|2022-04-02
83|Joy|CAT|FEMALE|2021-12-21|[FIV, FeLV, kidney disease]|0|0|ANY|2022-04-04|
43|Hara|CAT|FEMALE|2018-06-22|[FIV, feline heartworm, blindness]|1|1|INDOOR|2022-03-13|
84|Lucylectric|CAT|FEMALE|2010-10-30|[blindness, obesity]|0|0|OUTDOOR|2022-04-05|
85|Kuno|CAT|MALE|2012-05-08|[FIV, FeLV]|0|0|INDOOR|2022-04-05|
86|Delay|DOG|FEMALE|2009-12-13|[obesity]|1|0|ANY|2022-04-06|
87|Nugget|DOG|FEMALE|2014-01-20|[deafness, dog heartworm]|1|1|ANY|2022-04-06|
83|Joy|CAT|FEMALE|2021-12-21|[FIV, FeLV, kidney disease]|0|0|ANY|2022-04-04|2022-04-06
88|Maximus|CAT|MALE|2013-08-23|[FeLV]|0|0|INDOOR|2022-04-07|
89|Favorite|CAT|MALE|2012-01-07|[FeLV, cystitis, deafness]|0|0|OUTDOOR|2022-04-07|
90|Cammi|CAT|FEMALE|2015-04-30|[FIV, diabetes]|0|0|INDOOR|2022-04-07|
91|Flavia|CAT|FEMALE|2019-11-22|[obesity]|0|1|ANY|2022-04-07|
66|Tequilla|CAT|MALE|2019-04-13|[cystitis]|1|1|OUTDOOR|2022-03-23|2022-04-07
74|Dicky|CAT|MALE|2014-03-05|[obesity, tooth pathology]|1|0|OUTDOOR|2022-03-30|2022-04-07
91|Flavia|CAT|FEMALE|2019-11-22|[obesity, tooth pathology]|0|1|ANY|2022-04-07|
55|Bila|DOG|FEMALE|2014-04-26|[diabetes]|0|0|INDOOR|2022-04-09|
70|Roy|DOG|MALE|2008-08-03|[blindness, deafness, obesity]|1|0|ANY|2022-03-29|2022-04-09
5|Panache|DOG|FEMALE|2007-11-15|[amputated limb, diabetes, obesity]|1|0|OUTDOOR|2022-04-10|
8|Maite|CAT|FEMALE|2010-10-03|[FIV]|0|1|ANY|2022-04-11|
21|Crystal|DOG|FEMALE|2019-07-02|[]|0|0|INDOOR|2022-04-11|
52|Fissy|DOG|FEMALE|2014-11-04|[arthritis, blindness, dog heartworm]|0|0|ANY|2022-04-11|
72|Neva|DOG|FEMALE|2021-11-14|[deafness]|0|0|INDOOR|2022-03-29|2022-04-11
92|Kaukasus|CAT|MALE|2019-08-14|[amputated limb, blindness]|1|0|OUTDOOR|2022-04-12|
43|Hara|CAT|FEMALE|2018-06-22|[FIV, feline heartworm, blindness]|1|1|INDOOR|2022-03-13|2022-04-12
