|1|DOG|10|NIE|ANY|NIE|2022-03-24
|2|CAT|3|TAK|INDOOR|TAK|2022-03-24
|4|CAT|0|TAK|INDOOR|TAK|2022-03-24
|6|DOG|13|NIE|ANY|NIE|2022-03-24
|8|CAT|7|NIE|OUTDOOR|TAK|2022-03-24
|11|CAT|8|TAK|INDOOR|NIE|2022-03-24
|17|DOG|9|NIE|OUTDOOR|TAK|2022-03-24
|18|CAT|5|NIE|OUTDOOR|NIE|2022-03-24
|19|CAT|7|TAK|ANY|NIE|2022-03-24
|26|DOG|5|TAK|OUTDOOR|NIE|2022-03-24
|28|DOG|3|TAK|OUTDOOR|NIE|2022-03-24
|32|CAT|15|TAK|INDOOR|TAK|2022-03-24
|33|DOG|7|TAK|OUTDOOR|NIE|2022-03-24
|37|DOG|18|TAK|ANY|NIE|2022-03-24
|38|CAT|0|TAK|ANY|NIE|2022-03-24
|40|DOG|0|NIE|OUTDOOR|NIE|2022-03-24
|42|CAT|8|TAK|OUTDOOR|NIE|2022-03-24
|43|CAT|7|NIE|ANY|NIE|2022-03-24
|46|DOG|12|TAK|OUTDOOR|TAK|2022-03-24
|47|DOG|4|NIE|ANY|TAK|2022-03-24
|52|DOG|14|TAK|OUTDOOR|TAK|2022-03-24
|53|CAT|18|NIE|ANY|TAK|2022-03-24
|60|DOG|15|TAK|ANY|TAK|2022-03-24
|62|DOG|7|TAK|INDOOR|TAK|2022-03-24
|64|DOG|5|TAK|ANY|TAK|2022-03-24
|75|DOG|11|TAK|INDOOR|NIE|2022-03-24
|77|CAT|6|TAK|INDOOR|NIE|2022-03-24
|79|DOG|2|TAK|INDOOR|TAK|2022-03-24
|80|CAT|7|TAK|OUTDOOR|TAK|2022-03-24
|81|DOG|18|TAK|INDOOR|TAK|2022-03-24
|82|CAT|9|NIE|OUTDOOR|TAK|2022-03-24
|92|CAT|14|TAK|ANY|NIE|2022-03-24
|93|DOG|7|NIE|OUTDOOR|TAK|2022-03-24
|96|DOG|7|TAK|ANY|TAK|2022-03-24
|97|CAT|6|NIE|INDOOR|NIE|2022-03-24
|98|DOG|6|TAK|OUTDOOR|TAK|2022-03-24
|99|DOG|2|NIE|OUTDOOR|NIE|2022-03-24
|100|DOG|16|NIE|OUTDOOR|TAK|2022-03-24
|102|DOG|15|TAK|INDOOR|TAK|2022-03-24
|103|DOG|17|NIE|OUTDOOR|TAK|2022-03-24
|109|DOG|9|NIE|OUTDOOR|TAK|2022-03-24
|110|DOG|17|NIE|ANY|TAK|2022-03-24
|112|DOG|19|TAK|ANY|NIE|2022-03-24
|113|DOG|17|NIE|OUTDOOR|NIE|2022-03-24
|114|CAT|17|NIE|OUTDOOR|NIE|2022-03-24
|115|DOG|18|NIE|INDOOR|TAK|2022-03-24
|116|CAT|5|TAK|OUTDOOR|TAK|2022-03-24
|118|CAT|12|TAK|INDOOR|NIE|2022-03-24
|1|DOG|0|NIE|ANY|NIE|2022-03-25
|5|CAT|0|NIE|INDOOR|TAK|2022-03-25
|7|CAT|2|TAK|OUTDOOR|TAK|2022-03-25
|13|CAT|13|NIE|ANY|NIE|2022-03-25
|15|CAT|17|TAK|ANY|NIE|2022-03-25
|16|CAT|15|TAK|INDOOR|NIE|2022-03-25
|17|CAT|18|NIE|OUTDOOR|NIE|2022-03-25
|21|DOG|11|TAK|INDOOR|TAK|2022-03-25
|23|DOG|0|NIE|ANY|NIE|2022-03-25
|25|DOG|3|TAK|OUTDOOR|TAK|2022-03-25
|26|DOG|6|TAK|ANY|TAK|2022-03-25
|35|CAT|8|TAK|OUTDOOR|NIE|2022-03-25
|37|CAT|1|NIE|OUTDOOR|TAK|2022-03-25
|38|CAT|14|NIE|ANY|TAK|2022-03-25
|41|CAT|11|TAK|INDOOR|TAK|2022-03-25
|45|CAT|6|TAK|OUTDOOR|NIE|2022-03-25
|47|CAT|16|NIE|OUTDOOR|TAK|2022-03-25
|50|CAT|12|NIE|INDOOR|TAK|2022-03-25
|51|DOG|8|TAK|INDOOR|TAK|2022-03-25
|55|DOG|1|TAK|ANY|NIE|2022-03-25
