|8|2022-02-03|The animal almost froze out of boredom. The PA did not seem to mind it though.
|7|2022-02-04|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|4|2022-02-05|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|15|2022-02-05|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|33|2022-02-06|The animal almost froze out of boredom. The PA did not seem to mind it though.
|19|2022-02-07|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|14|2022-02-08|The PA was taken by an ambulance after the animal bit off a part of their calf.
|15|2022-02-08|The animal was really shy but at the end they allowed to pet themselves.
|21|2022-02-08|The animal almost froze out of boredom. The PA did not seem to mind it though.
|36|2022-02-09|
|50|2022-02-09|The animal almost froze out of boredom. The PA did not seem to mind it though.
|20|2022-02-10|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|34|2022-02-10|The PA was taken by an ambulance after the animal bit off a part of their calf.
|37|2022-02-10|The animal was really shy but at the end they allowed to pet themselves.
|63|2022-02-10|
|66|2022-02-10|The animal was really shy but at the end they allowed to pet themselves.
|10|2022-02-11|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|47|2022-02-11|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|61|2022-02-11|
|12|2022-02-12|The PA was taken by an ambulance after the animal bit off a part of their calf.
|74|2022-02-13|The PA was taken by an ambulance after the animal bit off a part of their calf.
|103|2022-02-13|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|139|2022-02-13|The animal was really shy but at the end they allowed to pet themselves.
|15|2022-02-14|
|66|2022-02-14|The PA was taken by an ambulance after the animal bit off a part of their calf.
|92|2022-02-14|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|96|2022-02-14|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|97|2022-02-14|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|135|2022-02-14|The animal was really shy but at the end they allowed to pet themselves.
|17|2022-02-15|The animal was really shy but at the end they allowed to pet themselves.
|122|2022-02-15|
|173|2022-02-15|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|120|2022-02-16|The PA was taken by an ambulance after the animal bit off a part of their calf.
|177|2022-02-16|
|47|2022-02-17|
|59|2022-02-17|The PA was taken by an ambulance after the animal bit off a part of their calf.
|151|2022-02-17|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|180|2022-02-17|The animal was really shy but at the end they allowed to pet themselves.
|222|2022-02-17|The PA was taken by an ambulance after the animal bit off a part of their calf.
|118|2022-02-18|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|134|2022-02-18|The animal almost froze out of boredom. The PA did not seem to mind it though.
|76|2022-02-19|The animal was really shy but at the end they allowed to pet themselves.
|108|2022-02-19|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|113|2022-02-19|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|154|2022-02-19|
|214|2022-02-19|The PA was taken by an ambulance after the animal bit off a part of their calf.
|217|2022-02-19|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|225|2022-02-19|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|248|2022-02-19|
|251|2022-02-19|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|166|2022-02-20|
|227|2022-02-20|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
|70|2022-02-21|The animal was really shy but at the end they allowed to pet themselves.
|91|2022-02-21|The animal was really shy but at the end they allowed to pet themselves.
|93|2022-02-21|The PA was taken by an ambulance after the animal bit off a part of their calf.
|122|2022-02-21|The animal almost froze out of boredom. The PA did not seem to mind it though.
|182|2022-02-21|The animal almost froze out of boredom. The PA did not seem to mind it though.
|269|2022-02-21|The animal jumped on the PA out of excitement. The PA tripped over but they seemed very happy.
|271|2022-02-21|The PA was taken by an ambulance after the animal bit off a part of their calf.
|301|2022-02-21|The PA was taken by an ambulance after the animal bit off a part of their calf.
|94|2022-02-22|The animal almost froze out of boredom. The PA did not seem to mind it though.
|302|2022-02-22|The animal almost froze out of boredom. The PA did not seem to mind it though.
|304|2022-02-22|It was mostly successful but the animal pissed on the PAs leg. Not sure if it is a good sign.
