|1|CAT|4|TAK|INDOOR|TAK|2022-02-02
|2|DOG|16|TAK|OUTDOOR|NIE|2022-02-02
|3|CAT|6|TAK|INDOOR|TAK|2022-02-02
|4|DOG|14|NIE|ANY|TAK|2022-02-02
|5|CAT|0|TAK|INDOOR|TAK|2022-02-02
|6|CAT|8|NIE|INDOOR|TAK|2022-02-02
|7|DOG|14|TAK|OUTDOOR|NIE|2022-02-02
|8|DOG|18|TAK|ANY|TAK|2022-02-02
|1|DOG|1|NIE|ANY|TAK|2022-02-03
|2|CAT|17|TAK|INDOOR|TAK|2022-02-03
|3|DOG|10|NIE|INDOOR|NIE|2022-02-03
|4|CAT|1|NIE|OUTDOOR|TAK|2022-02-03
|5|DOG|3|TAK|ANY|TAK|2022-02-03
|6|DOG|7|TAK|ANY|TAK|2022-02-03
|7|DOG|6|TAK|INDOOR|TAK|2022-02-03
|8|DOG|16|TAK|ANY|TAK|2022-02-03
|1|CAT|16|NIE|OUTDOOR|TAK|2022-02-04
|2|DOG|12|NIE|OUTDOOR|TAK|2022-02-04
|3|CAT|19|TAK|OUTDOOR|TAK|2022-02-04
|4|DOG|4|NIE|OUTDOOR|TAK|2022-02-04
|5|DOG|7|NIE|OUTDOOR|NIE|2022-02-04
|6|DOG|16|NIE|ANY|TAK|2022-02-04
|7|CAT|0|NIE|ANY|TAK|2022-02-04
|8|CAT|0|TAK|INDOOR|NIE|2022-02-04
|1|DOG|5|TAK|OUTDOOR|NIE|2022-02-05
|2|CAT|15|TAK|ANY|NIE|2022-02-05
|3|CAT|6|TAK|ANY|NIE|2022-02-05
|4|CAT|14|TAK|OUTDOOR|NIE|2022-02-05
|5|CAT|11|NIE|INDOOR|NIE|2022-02-05
|6|DOG|1|TAK|ANY|NIE|2022-02-05
|7|DOG|15|NIE|OUTDOOR|NIE|2022-02-05
|8|CAT|19|TAK|OUTDOOR|NIE|2022-02-05
|9|DOG|10|NIE|OUTDOOR|NIE|2022-02-05
|1|DOG|12|TAK|INDOOR|NIE|2022-02-06
|2|DOG|14|TAK|OUTDOOR|TAK|2022-02-06
|3|CAT|5|NIE|INDOOR|NIE|2022-02-06
|4|DOG|0|NIE|OUTDOOR|NIE|2022-02-06
|5|DOG|8|TAK|INDOOR|TAK|2022-02-06
|6|CAT|0|TAK|INDOOR|TAK|2022-02-06
|7|DOG|15|TAK|OUTDOOR|TAK|2022-02-06
|8|CAT|16|TAK|OUTDOOR|NIE|2022-02-06
|9|DOG|9|TAK|ANY|TAK|2022-02-06
|1|DOG|5|NIE|OUTDOOR|TAK|2022-02-07
|2|DOG|4|TAK|INDOOR|TAK|2022-02-07
|3|CAT|2|TAK|OUTDOOR|TAK|2022-02-07
|4|CAT|19|TAK|OUTDOOR|NIE|2022-02-07
|5|CAT|2|NIE|ANY|NIE|2022-02-07
|6|CAT|1|NIE|ANY|NIE|2022-02-07
|7|CAT|5|NIE|ANY|NIE|2022-02-07
|8|DOG|4|TAK|ANY|TAK|2022-02-07
|9|CAT|3|NIE|ANY|NIE|2022-02-07
|10|CAT|7|TAK|INDOOR|NIE|2022-02-07
|11|DOG|12|TAK|OUTDOOR|TAK|2022-02-07
|12|DOG|0|TAK|OUTDOOR|TAK|2022-02-07
|1|DOG|17|TAK|INDOOR|NIE|2022-02-08
|2|DOG|6|TAK|INDOOR|NIE|2022-02-08
|3|CAT|5|TAK|INDOOR|TAK|2022-02-08
|4|CAT|19|TAK|INDOOR|TAK|2022-02-08
|5|CAT|13|NIE|INDOOR|TAK|2022-02-08
|6|CAT|10|NIE|INDOOR|TAK|2022-02-08
|7|CAT|6|NIE|ANY|TAK|2022-02-08
|8|DOG|9|NIE|ANY|TAK|2022-02-08
|9|DOG|7|NIE|OUTDOOR|TAK|2022-02-08
|10|CAT|0|NIE|ANY|TAK|2022-02-08
|11|DOG|3|NIE|OUTDOOR|NIE|2022-02-08
|12|DOG|4|TAK|OUTDOOR|TAK|2022-02-08
|13|DOG|15|TAK|INDOOR|NIE|2022-02-08
|1|DOG|17|TAK|OUTDOOR|NIE|2022-02-09
|2|CAT|17|TAK|ANY|NIE|2022-02-09
|3|DOG|0|NIE|ANY|TAK|2022-02-09
|4|CAT|5|TAK|INDOOR|TAK|2022-02-09
|5|DOG|9|TAK|INDOOR|TAK|2022-02-09
|6|CAT|12|NIE|OUTDOOR|NIE|2022-02-09
|7|DOG|5|NIE|INDOOR|TAK|2022-02-09
|8|DOG|0|NIE|OUTDOOR|NIE|2022-02-09
|9|DOG|4|NIE|INDOOR|TAK|2022-02-09
|10|DOG|9|TAK|INDOOR|TAK|2022-02-09
