2|2|12|3|2022-02-02|2022-02-04
24|5|11|2|2022-02-05|2022-02-06
26|7|11|3|2022-02-05|2022-02-06
25|6|5|4|2022-02-05|2022-02-06
30|3|12|4|2022-02-06|2022-02-06
28|1|13|4|2022-02-06|2022-02-08
44|8|8|3|2022-02-07|2022-02-08
14|3|8|2|2022-02-04|2022-02-09
31|4|1|3|2022-02-06|2022-02-09
51|6|14|1|2022-02-08|2022-02-09
58|1|16|2|2022-02-09|2022-02-09
68|11|19|1|2022-02-09|2022-02-09
6|3|7|2|2022-02-03|2022-02-10
9|6|4|2|2022-02-03|2022-02-10
40|4|8|3|2022-02-07|2022-02-10
43|7|1|2|2022-02-07|2022-02-10
69|12|19|4|2022-02-09|2022-02-10
86|16|20|1|2022-02-10|2022-02-10
39|3|18|4|2022-02-07|2022-02-11
42|6|18|2|2022-02-07|2022-02-11
61|4|18|2|2022-02-09|2022-02-11
73|3|18|2|2022-02-10|2022-02-11
3|3|3|2|2022-02-02|2022-02-11
8|5|4|2|2022-02-03|2022-02-11
39|3|18|4|2022-02-07|2022-02-11
49|4|14|2|2022-02-08|2022-02-11
60|3|2|4|2022-02-09|2022-02-11
65|8|5|1|2022-02-09|2022-02-11
67|10|21|3|2022-02-09|2022-02-11
79|9|8|4|2022-02-10|2022-02-11
89|19|20|1|2022-02-10|2022-02-11
7|4|5|3|2022-02-03|
11|8|2|4|2022-02-03|
27|8|10|3|2022-02-05|
38|2|16|2|2022-02-07|
51|6|14|3|2022-02-08|2022-02-09
53|8|6|2|2022-02-08|
55|10|15|4|2022-02-08|
57|12|16|4|2022-02-08|
63|6|9|2|2022-02-09|
65|8|5|4|2022-02-09|2022-02-11
68|11|19|4|2022-02-09|2022-02-09
70|13|16|3|2022-02-09|
82|12|15|2|2022-02-10|
86|16|20|4|2022-02-10|2022-02-10
87|17|5|2|2022-02-10|
89|19|20|4|2022-02-10|2022-02-11
91|3|10|4|2022-02-11|
97|10|9|3|2022-02-11|
106|23|22|3|2022-02-11|
109|3|22|2|2022-02-12|2022-02-12
123|19|12|2|2022-02-12|2022-02-12
52|7|13|4|2022-02-08|2022-02-13
75|5|20|4|2022-02-10|2022-02-13
107|24|19|3|2022-02-11|2022-02-13
111|6|8|2|2022-02-12|2022-02-13
148|28|19|3|2022-02-13|2022-02-13
101|15|1|4|2022-02-11|2022-02-14
162|25|10|2|2022-02-14|2022-02-14
6|3|7|2|2022-02-03|2022-02-15
15|4|7|4|2022-02-04|2022-02-15
17|6|7|2|2022-02-04|2022-02-15
19|8|7|3|2022-02-04|2022-02-15
